Confidence,Pick,Spread,pmargin,diff,Opp,DT Prob,Tipoff
Bet,Vanderbilt,9.0,-7,2.0,@ Florida,0.5194,4:00 PM ET
Bet,Rice,10.5,-5,5.5,@ UTEP,0.5194,9:00 PM ET
Caution,San Francisco,-5.5,5,,@ Portland,0.5194,9:00 PM ET
Bet,Louisiana Tech,2.0,-2,0.0,@ Marshall,0.5194,7:00 PM ET
Bet,Charlotte,17.0,-15,2.0,@ Old Dominion,0.5183,7:00 PM ET
Caution,Colorado State,-3.0,-3,,@ San Jose State,0.5183,5:00 PM ET
Bet,Georgia Tech,15.0,-13,2.0,@ Notre Dame,0.5183,2:00 PM ET
Bet,Fordham,11.5,-9,2.5,@ VCU,0.5183,12:30 PM ET
Bet,Montana State,-5.0,5,0.0,@ Northern Arizona,0.5183,7:00 PM ET
Caution,Harvard,14.5,-16,,@ Minnesota,0.5183,2:00 PM ET
Caution,Eastern Kentucky,8.5,-9,,@ Tennessee Tech,0.5183,7:00 PM ET
Caution,Oklahoma,2.5,-4,,@ TCU,0.5183,2:00 PM ET
Bet,George Mason,17.5,-17,0.5,@ Rhode Island,0.5183,4:00 PM ET
Bet,Detroit Mercy,11.0,-11,0.0,@ Milwaukee,0.5183,7:00 PM ET
Caution,Santa Clara,23.5,-24,,@ Gonzaga,0.5183,7:00 PM ET
Caution,Saint Joseph's,2.5,-5,,@ George Washington,0.5183,4:00 PM ET
Caution,Saint Mary's,-1.5,-2,,@ BYU,0.5183,4:00 PM ET
Bet,Delaware,1.5,1,2.5,@ UNC Wilmington,0.5183,7:00 PM ET
Bet,California,7.0,-7,0.0,@ Stanford,0.5183,10:00 PM ET
Bet,Northeastern,-3.0,3,0.0,@ James Madison,0.5183,4:00 PM ET
Caution,Miami,-12.5,9,,@ Pittsburgh,0.5158,4:00 PM ET
Caution,Pepperdine,9.5,-15,,@ San Diego,0.5158,4:00 PM ET
Caution,Hofstra,1.5,-2,,@ William & Mary,0.5158,4:00 PM ET
Caution,Wofford,5.5,-6,,@ UNC Greensboro,0.5158,5:00 PM ET
Caution,Duke,-11.5,10,,v Florida State,0.5131,2:00 PM ET
Caution,UT San Antonio,-5.5,5,,v North Texas,0.5131,8:00 PM ET
Caution,Loyola (CHI),-7.5,7,,v Evansville,0.5131,4:00 PM ET
Caution,Michigan,-30.5,26,,v Jacksonville,0.5131,6:00 PM ET
Caution,Arkansas,-5.0,4,,v Tennessee,0.5131,1:00 PM ET
Caution,Western Carolina,-2.0,-2,,@ The Citadel,0.5064,1:00 PM ET
Caution,Dayton,-3.5,-2,,@ Duquesne,0.5064,4:00 PM ET
